pdf,text,model,sdgs,reasoning
smaterialie415-sdg-bericht.pdf,"Zum 1. Februar 2019 hatten 116 Vertragsparteien, darunter die Europäische Union, das Protokoll von Nagoya über den Zugang zu genetischen Ressourcen und die ausgewogene und gerechte Aufteilung der sich aus ihrer Nutzung ergebenden Vorteile ratifiziert (65 Prozent mehr als 2016). Zudem hatten 61 Vertragsparteien (2016 waren es erst 6) Rahmenwerke für den Zugang und die Aufteilung der Vorteile (ABS) angenommen und diesbezügliche Informationen über die ABS- Informationsstelle veröffentlicht. Ferner hatten 145 Vertragsparteien den Internationalen Vertrag über pflanzengenetische Ressourcen für Ernährung und Landwirtschaft ratifiziert. Als Teil des Vertrags wurden mehr als 64.000 standardisierte Vereinbarungen für die Übertragung von mehr als 4,6 Millionen Proben pflanzengenetischer Ressourcen für Ernährung und Landwirtschaft geschlossen. Der Waldverlust in einigen tropischen Regionen wird teilweise durch einen Waldgewinn in Teilen Asiens sowie in Europa und Nordamerika ausgeglichen. In diesen Regionen sind die Waldflächen dank aktiver Aufforstung und Landschaftswiederherstellung sowie natürlichen Waldwachstums auf brach liegendem Agrarland gewachsen. Daher verlangsamte sich der jährliche Nettowaldverlust zwischen 2010 und 2015 um etwa 25 Prozent gegenüber dem Zeitraum 2000- 2005. Zudem ist der Anteil von Waldschutzgebieten und Wäldern mit langfristigen Bewirtschaftungsplänen in allen Weltregionen stabil geblieben oder gestiegen. Ziel 15 | Leben an Land53",olfh/teuken-7b-instruct-commercial-v0.4:7b,[],
smaterialie415-sdg-bericht.pdf,"Zum 1. Februar 2019 hatten 116 Vertragsparteien, darunter die Europäische Union, das Protokoll von Nagoya über den Zugang zu genetischen Ressourcen und die ausgewogene und gerechte Aufteilung der sich aus ihrer Nutzung ergebenden Vorteile ratifiziert (65 Prozent mehr als 2016). Zudem hatten 61 Vertragsparteien (2016 waren es erst 6) Rahmenwerke für den Zugang und die Aufteilung der Vorteile (ABS) angenommen und diesbezügliche Informationen über die ABS- Informationsstelle veröffentlicht. Ferner hatten 145 Vertragsparteien den Internationalen Vertrag über pflanzengenetische Ressourcen für Ernährung und Landwirtschaft ratifiziert. Als Teil des Vertrags wurden mehr als 64.000 standardisierte Vereinbarungen für die Übertragung von mehr als 4,6 Millionen Proben pflanzengenetischer Ressourcen für Ernährung und Landwirtschaft geschlossen. Der Waldverlust in einigen tropischen Regionen wird teilweise durch einen Waldgewinn in Teilen Asiens sowie in Europa und Nordamerika ausgeglichen. In diesen Regionen sind die Waldflächen dank aktiver Aufforstung und Landschaftswiederherstellung sowie natürlichen Waldwachstums auf brach liegendem Agrarland gewachsen. Daher verlangsamte sich der jährliche Nettowaldverlust zwischen 2010 und 2015 um etwa 25 Prozent gegenüber dem Zeitraum 2000- 2005. Zudem ist der Anteil von Waldschutzgebieten und Wäldern mit langfristigen Bewirtschaftungsplänen in allen Weltregionen stabil geblieben oder gestiegen. Ziel 15 | Leben an Land53",qwen2.5:7b,"[15.2, 15.9]",
smaterialie415-sdg-bericht.pdf,"Zum 1. Februar 2019 hatten 116 Vertragsparteien, darunter die Europäische Union, das Protokoll von Nagoya über den Zugang zu genetischen Ressourcen und die ausgewogene und gerechte Aufteilung der sich aus ihrer Nutzung ergebenden Vorteile ratifiziert (65 Prozent mehr als 2016). Zudem hatten 61 Vertragsparteien (2016 waren es erst 6) Rahmenwerke für den Zugang und die Aufteilung der Vorteile (ABS) angenommen und diesbezügliche Informationen über die ABS- Informationsstelle veröffentlicht. Ferner hatten 145 Vertragsparteien den Internationalen Vertrag über pflanzengenetische Ressourcen für Ernährung und Landwirtschaft ratifiziert. Als Teil des Vertrags wurden mehr als 64.000 standardisierte Vereinbarungen für die Übertragung von mehr als 4,6 Millionen Proben pflanzengenetischer Ressourcen für Ernährung und Landwirtschaft geschlossen. Der Waldverlust in einigen tropischen Regionen wird teilweise durch einen Waldgewinn in Teilen Asiens sowie in Europa und Nordamerika ausgeglichen. In diesen Regionen sind die Waldflächen dank aktiver Aufforstung und Landschaftswiederherstellung sowie natürlichen Waldwachstums auf brach liegendem Agrarland gewachsen. Daher verlangsamte sich der jährliche Nettowaldverlust zwischen 2010 und 2015 um etwa 25 Prozent gegenüber dem Zeitraum 2000- 2005. Zudem ist der Anteil von Waldschutzgebieten und Wäldern mit langfristigen Bewirtschaftungsplänen in allen Weltregionen stabil geblieben oder gestiegen. Ziel 15 | Leben an Land53",mistral:7b,"[15.2, 14.5, 15.9, 15.7, 15.6]",
smaterialie415-sdg-bericht.pdf,"Zum 1. Februar 2019 hatten 116 Vertragsparteien, darunter die Europäische Union, das Protokoll von Nagoya über den Zugang zu genetischen Ressourcen und die ausgewogene und gerechte Aufteilung der sich aus ihrer Nutzung ergebenden Vorteile ratifiziert (65 Prozent mehr als 2016). Zudem hatten 61 Vertragsparteien (2016 waren es erst 6) Rahmenwerke für den Zugang und die Aufteilung der Vorteile (ABS) angenommen und diesbezügliche Informationen über die ABS- Informationsstelle veröffentlicht. Ferner hatten 145 Vertragsparteien den Internationalen Vertrag über pflanzengenetische Ressourcen für Ernährung und Landwirtschaft ratifiziert. Als Teil des Vertrags wurden mehr als 64.000 standardisierte Vereinbarungen für die Übertragung von mehr als 4,6 Millionen Proben pflanzengenetischer Ressourcen für Ernährung und Landwirtschaft geschlossen. Der Waldverlust in einigen tropischen Regionen wird teilweise durch einen Waldgewinn in Teilen Asiens sowie in Europa und Nordamerika ausgeglichen. In diesen Regionen sind die Waldflächen dank aktiver Aufforstung und Landschaftswiederherstellung sowie natürlichen Waldwachstums auf brach liegendem Agrarland gewachsen. Daher verlangsamte sich der jährliche Nettowaldverlust zwischen 2010 und 2015 um etwa 25 Prozent gegenüber dem Zeitraum 2000- 2005. Zudem ist der Anteil von Waldschutzgebieten und Wäldern mit langfristigen Bewirtschaftungsplänen in allen Weltregionen stabil geblieben oder gestiegen. Ziel 15 | Leben an Land53",llama3.1:8b,"[2.5, 13.4]",
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"110 Cipolletti, a.a.O. S. 33. 111 Vgl. https://de.wikipedia.org/wiki/Schamanismus 112 Auch wenn Schamanen meist männlich sind, gibt es je nach Kultur auch weibliche Schamaninnen. 109 Gemeinschaft oder der (Um-)Welt im weiteren Sinn beziehen. Denn auch das Gleichgewicht der Natur und Gesellschaft wird als empfindlich gesehen und muss ständig beobachtet und überprüft werden. Auch wenn Schamanen besondere „Spezialisten“113 sind, insbesondere durch ihre Fähigkeit zu Bewusstseinsreisen und zum geistig-spirituellen Heilen, ist ihr umfangreiches Wissen nicht auf sie beschränkt. Jedes Mitglied der Gemeinschaft verfügt über große Teile dieses Wissens, und es gibt die verschiedensten Spezialisten im Kontext der Naturbeziehung - etwa Menschen mit besonderen Fähigkeiten als Jäger, die zumeist über eine persönliche Jagdmagie verfügen, oder Menschen, die für die Fruchtbarkeits- und Erntedankfeste besondere Gesänge und Tänze kennen und die Gruppe darin anleiten.114",llama3.2:3b,"[14.3, 11.4, 12.8, 17.6, 15.7, 2.5]",
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"110 Cipolletti, a.a.O. S. 33. 111 Vgl. https://de.wikipedia.org/wiki/Schamanismus 112 Auch wenn Schamanen meist männlich sind, gibt es je nach Kultur auch weibliche Schamaninnen. 109 Gemeinschaft oder der (Um-)Welt im weiteren Sinn beziehen. Denn auch das Gleichgewicht der Natur und Gesellschaft wird als empfindlich gesehen und muss ständig beobachtet und überprüft werden. Auch wenn Schamanen besondere „Spezialisten“113 sind, insbesondere durch ihre Fähigkeit zu Bewusstseinsreisen und zum geistig-spirituellen Heilen, ist ihr umfangreiches Wissen nicht auf sie beschränkt. Jedes Mitglied der Gemeinschaft verfügt über große Teile dieses Wissens, und es gibt die verschiedensten Spezialisten im Kontext der Naturbeziehung - etwa Menschen mit besonderen Fähigkeiten als Jäger, die zumeist über eine persönliche Jagdmagie verfügen, oder Menschen, die für die Fruchtbarkeits- und Erntedankfeste besondere Gesänge und Tänze kennen und die Gruppe darin anleiten.114",olfh/teuken-7b-instruct-commercial-v0.4:7b,"[14.3, 17.6, 11.4]",
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"110 Cipolletti, a.a.O. S. 33. 111 Vgl. https://de.wikipedia.org/wiki/Schamanismus 112 Auch wenn Schamanen meist männlich sind, gibt es je nach Kultur auch weibliche Schamaninnen. 109 Gemeinschaft oder der (Um-)Welt im weiteren Sinn beziehen. Denn auch das Gleichgewicht der Natur und Gesellschaft wird als empfindlich gesehen und muss ständig beobachtet und überprüft werden. Auch wenn Schamanen besondere „Spezialisten“113 sind, insbesondere durch ihre Fähigkeit zu Bewusstseinsreisen und zum geistig-spirituellen Heilen, ist ihr umfangreiches Wissen nicht auf sie beschränkt. Jedes Mitglied der Gemeinschaft verfügt über große Teile dieses Wissens, und es gibt die verschiedensten Spezialisten im Kontext der Naturbeziehung - etwa Menschen mit besonderen Fähigkeiten als Jäger, die zumeist über eine persönliche Jagdmagie verfügen, oder Menschen, die für die Fruchtbarkeits- und Erntedankfeste besondere Gesänge und Tänze kennen und die Gruppe darin anleiten.114",qwen2.5:7b,[],
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"110 Cipolletti, a.a.O. S. 33. 111 Vgl. https://de.wikipedia.org/wiki/Schamanismus 112 Auch wenn Schamanen meist männlich sind, gibt es je nach Kultur auch weibliche Schamaninnen. 109 Gemeinschaft oder der (Um-)Welt im weiteren Sinn beziehen. Denn auch das Gleichgewicht der Natur und Gesellschaft wird als empfindlich gesehen und muss ständig beobachtet und überprüft werden. Auch wenn Schamanen besondere „Spezialisten“113 sind, insbesondere durch ihre Fähigkeit zu Bewusstseinsreisen und zum geistig-spirituellen Heilen, ist ihr umfangreiches Wissen nicht auf sie beschränkt. Jedes Mitglied der Gemeinschaft verfügt über große Teile dieses Wissens, und es gibt die verschiedensten Spezialisten im Kontext der Naturbeziehung - etwa Menschen mit besonderen Fähigkeiten als Jäger, die zumeist über eine persönliche Jagdmagie verfügen, oder Menschen, die für die Fruchtbarkeits- und Erntedankfeste besondere Gesänge und Tänze kennen und die Gruppe darin anleiten.114",mistral:7b,"[11.4, 12.8]",
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"110 Cipolletti, a.a.O. S. 33. 111 Vgl. https://de.wikipedia.org/wiki/Schamanismus 112 Auch wenn Schamanen meist männlich sind, gibt es je nach Kultur auch weibliche Schamaninnen. 109 Gemeinschaft oder der (Um-)Welt im weiteren Sinn beziehen. Denn auch das Gleichgewicht der Natur und Gesellschaft wird als empfindlich gesehen und muss ständig beobachtet und überprüft werden. Auch wenn Schamanen besondere „Spezialisten“113 sind, insbesondere durch ihre Fähigkeit zu Bewusstseinsreisen und zum geistig-spirituellen Heilen, ist ihr umfangreiches Wissen nicht auf sie beschränkt. Jedes Mitglied der Gemeinschaft verfügt über große Teile dieses Wissens, und es gibt die verschiedensten Spezialisten im Kontext der Naturbeziehung - etwa Menschen mit besonderen Fähigkeiten als Jäger, die zumeist über eine persönliche Jagdmagie verfügen, oder Menschen, die für die Fruchtbarkeits- und Erntedankfeste besondere Gesänge und Tänze kennen und die Gruppe darin anleiten.114",llama3.1:8b,[],
syspons-review-aktionsplan-kinderrechte-abschlussbericht.pdf,"Im Gegensatz zur Partizipation zeigt sich im zweiten analysierten Aspekt der Vorhabensimplementierung, dem Schutz von Kindern und Jugendlichen im Vorhabenskontext durch konkrete Maßnahmen und Standards, eine wesentlich weniger systematische Umsetzung. Obwohl alle befragten GIZ-Vorhaben mit Kindern und Jugendlichen arbeiten, gaben 42,9% an, über die allgemeine Anwendung des „Do-No-Harm“-Prinzips hinaus keine Maßnahmen oder Strategien zu ihrem Schutz vor Gewalt und Diskriminierung im Projektkontext zu treffen (siehe Abbildung 9). 13% der befragten GIZ-Vorhaben haben eine projekteigene Kinderschutzpolicy eingeführt, 11,7% einen Beschwerdemechanismus. 18,2% der Vorhaben führen regelmäßige Schulungen zum Kinderschutz durch. Die KfW zeichnet Umsetzungspartner für Kinderschutz verantwortlich und sieht sich in UNICEF dabei einem in Kinderschutz erfahrenen Partner gegenüber, stellt aber bisher keine systematischen Anforderungen an Schutzmaßnahmen ihrer Partner. Welche Schutzmaßnahmen gibt es in Ihrem Projekt, um den Schutz von Kindern und Jugendlichen vor Gewalt und Diskriminierung im Projektkontext zu gewährleisten? Mehrfachauswahl möglich (N=77) N In meinem Projekt gibt es keine spezifischen Maßnahmen/Strategien zum Schutz von Kindern 33 42,9% und Jugendlichen vor Gewalt/Diskriminierung im Projektkontext. Im Rahmen meines Projekts wurden regelmäßige 18,2% 14 Schulungen für Mitarbeitende und Partner im Bereich des Kinderschutzes durchgeführt.",llama3.2:3b,[10.3],
syspons-review-aktionsplan-kinderrechte-abschlussbericht.pdf,"Im Gegensatz zur Partizipation zeigt sich im zweiten analysierten Aspekt der Vorhabensimplementierung, dem Schutz von Kindern und Jugendlichen im Vorhabenskontext durch konkrete Maßnahmen und Standards, eine wesentlich weniger systematische Umsetzung. Obwohl alle befragten GIZ-Vorhaben mit Kindern und Jugendlichen arbeiten, gaben 42,9% an, über die allgemeine Anwendung des „Do-No-Harm“-Prinzips hinaus keine Maßnahmen oder Strategien zu ihrem Schutz vor Gewalt und Diskriminierung im Projektkontext zu treffen (siehe Abbildung 9). 13% der befragten GIZ-Vorhaben haben eine projekteigene Kinderschutzpolicy eingeführt, 11,7% einen Beschwerdemechanismus. 18,2% der Vorhaben führen regelmäßige Schulungen zum Kinderschutz durch. Die KfW zeichnet Umsetzungspartner für Kinderschutz verantwortlich und sieht sich in UNICEF dabei einem in Kinderschutz erfahrenen Partner gegenüber, stellt aber bisher keine systematischen Anforderungen an Schutzmaßnahmen ihrer Partner. Welche Schutzmaßnahmen gibt es in Ihrem Projekt, um den Schutz von Kindern und Jugendlichen vor Gewalt und Diskriminierung im Projektkontext zu gewährleisten? Mehrfachauswahl möglich (N=77) N In meinem Projekt gibt es keine spezifischen Maßnahmen/Strategien zum Schutz von Kindern 33 42,9% und Jugendlichen vor Gewalt/Diskriminierung im Projektkontext. Im Rahmen meines Projekts wurden regelmäßige 18,2% 14 Schulungen für Mitarbeitende und Partner im Bereich des Kinderschutzes durchgeführt.",olfh/teuken-7b-instruct-commercial-v0.4:7b,"[13.2, 4.2]",
syspons-review-aktionsplan-kinderrechte-abschlussbericht.pdf,"Im Gegensatz zur Partizipation zeigt sich im zweiten analysierten Aspekt der Vorhabensimplementierung, dem Schutz von Kindern und Jugendlichen im Vorhabenskontext durch konkrete Maßnahmen und Standards, eine wesentlich weniger systematische Umsetzung. Obwohl alle befragten GIZ-Vorhaben mit Kindern und Jugendlichen arbeiten, gaben 42,9% an, über die allgemeine Anwendung des „Do-No-Harm“-Prinzips hinaus keine Maßnahmen oder Strategien zu ihrem Schutz vor Gewalt und Diskriminierung im Projektkontext zu treffen (siehe Abbildung 9). 13% der befragten GIZ-Vorhaben haben eine projekteigene Kinderschutzpolicy eingeführt, 11,7% einen Beschwerdemechanismus. 18,2% der Vorhaben führen regelmäßige Schulungen zum Kinderschutz durch. Die KfW zeichnet Umsetzungspartner für Kinderschutz verantwortlich und sieht sich in UNICEF dabei einem in Kinderschutz erfahrenen Partner gegenüber, stellt aber bisher keine systematischen Anforderungen an Schutzmaßnahmen ihrer Partner. Welche Schutzmaßnahmen gibt es in Ihrem Projekt, um den Schutz von Kindern und Jugendlichen vor Gewalt und Diskriminierung im Projektkontext zu gewährleisten? Mehrfachauswahl möglich (N=77) N In meinem Projekt gibt es keine spezifischen Maßnahmen/Strategien zum Schutz von Kindern 33 42,9% und Jugendlichen vor Gewalt/Diskriminierung im Projektkontext. Im Rahmen meines Projekts wurden regelmäßige 18,2% 14 Schulungen für Mitarbeitende und Partner im Bereich des Kinderschutzes durchgeführt.",qwen2.5:7b,[10.3],
syspons-review-aktionsplan-kinderrechte-abschlussbericht.pdf,"Im Gegensatz zur Partizipation zeigt sich im zweiten analysierten Aspekt der Vorhabensimplementierung, dem Schutz von Kindern und Jugendlichen im Vorhabenskontext durch konkrete Maßnahmen und Standards, eine wesentlich weniger systematische Umsetzung. Obwohl alle befragten GIZ-Vorhaben mit Kindern und Jugendlichen arbeiten, gaben 42,9% an, über die allgemeine Anwendung des „Do-No-Harm“-Prinzips hinaus keine Maßnahmen oder Strategien zu ihrem Schutz vor Gewalt und Diskriminierung im Projektkontext zu treffen (siehe Abbildung 9). 13% der befragten GIZ-Vorhaben haben eine projekteigene Kinderschutzpolicy eingeführt, 11,7% einen Beschwerdemechanismus. 18,2% der Vorhaben führen regelmäßige Schulungen zum Kinderschutz durch. Die KfW zeichnet Umsetzungspartner für Kinderschutz verantwortlich und sieht sich in UNICEF dabei einem in Kinderschutz erfahrenen Partner gegenüber, stellt aber bisher keine systematischen Anforderungen an Schutzmaßnahmen ihrer Partner. Welche Schutzmaßnahmen gibt es in Ihrem Projekt, um den Schutz von Kindern und Jugendlichen vor Gewalt und Diskriminierung im Projektkontext zu gewährleisten? Mehrfachauswahl möglich (N=77) N In meinem Projekt gibt es keine spezifischen Maßnahmen/Strategien zum Schutz von Kindern 33 42,9% und Jugendlichen vor Gewalt/Diskriminierung im Projektkontext. Im Rahmen meines Projekts wurden regelmäßige 18,2% 14 Schulungen für Mitarbeitende und Partner im Bereich des Kinderschutzes durchgeführt.",mistral:7b,"[10.3, 4.2, 16.7, 4.4]",
syspons-review-aktionsplan-kinderrechte-abschlussbericht.pdf,"Im Gegensatz zur Partizipation zeigt sich im zweiten analysierten Aspekt der Vorhabensimplementierung, dem Schutz von Kindern und Jugendlichen im Vorhabenskontext durch konkrete Maßnahmen und Standards, eine wesentlich weniger systematische Umsetzung. Obwohl alle befragten GIZ-Vorhaben mit Kindern und Jugendlichen arbeiten, gaben 42,9% an, über die allgemeine Anwendung des „Do-No-Harm“-Prinzips hinaus keine Maßnahmen oder Strategien zu ihrem Schutz vor Gewalt und Diskriminierung im Projektkontext zu treffen (siehe Abbildung 9). 13% der befragten GIZ-Vorhaben haben eine projekteigene Kinderschutzpolicy eingeführt, 11,7% einen Beschwerdemechanismus. 18,2% der Vorhaben führen regelmäßige Schulungen zum Kinderschutz durch. Die KfW zeichnet Umsetzungspartner für Kinderschutz verantwortlich und sieht sich in UNICEF dabei einem in Kinderschutz erfahrenen Partner gegenüber, stellt aber bisher keine systematischen Anforderungen an Schutzmaßnahmen ihrer Partner. Welche Schutzmaßnahmen gibt es in Ihrem Projekt, um den Schutz von Kindern und Jugendlichen vor Gewalt und Diskriminierung im Projektkontext zu gewährleisten? Mehrfachauswahl möglich (N=77) N In meinem Projekt gibt es keine spezifischen Maßnahmen/Strategien zum Schutz von Kindern 33 42,9% und Jugendlichen vor Gewalt/Diskriminierung im Projektkontext. Im Rahmen meines Projekts wurden regelmäßige 18,2% 14 Schulungen für Mitarbeitende und Partner im Bereich des Kinderschutzes durchgeführt.",llama3.1:8b,[10.3],
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"Mit zunehmender Anerkennung der Selbstbestimmungsrechte indigener Völker durch nationale und internationale Rechtsnormen ist aber auch das Recht auf selbstbestimmte Bewahrung und Weiterentwicklung eigenständiger Normativität und Institutionalität verbunden. Im Rahmen von Autonomiestatuten multiethnischer und plurinationaler Staatlichkeit werden in verschiedenen Ländern zunehmend auch indigene Autoritäten und Instanzen als Teil der öffentlichen Ordnung anerkannt, wie z.B. die mamos („Weisen“) als Institutionen indigener Selbstverwaltung in der Sierra Nevada de Santa Marta in Kolumbien.132 Die neuerdings verstärkt stattfindende Anerkennung indigener Selbstbestimmung schließt auch deren Konfliktlösungssysteme ein. Sie sind vor allem darauf ausgerichtet, Wege zu finden, wie im jeweils konkreten Fall die aus dem Gleichgewicht geratene Weltordnung wiederhergestellt werden kann. 131 Dies geschah z.B. mit dem Cerro Quemado, einem alten heiligen Maya-Ort in Almolonga, einer K’iché-Gemeinde, in der 90% in eine evangelikale Gemeinde konvertierten. (Elias 2020 a.a.O.). 132 René Kuppe, Religionsfreiheit und Schutz der kulturellen Identität im Widerspruch?: das Erkenntnis SU-510/1998 des Verfassungsgerichtes Kolumbien, Österreichisches Archiv für Recht und Religion Bd. 47/1 2000, S. 48-81. 127",llama3.2:3b,"[10.3, 1.4, 16.3, 14.12]",
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"Mit zunehmender Anerkennung der Selbstbestimmungsrechte indigener Völker durch nationale und internationale Rechtsnormen ist aber auch das Recht auf selbstbestimmte Bewahrung und Weiterentwicklung eigenständiger Normativität und Institutionalität verbunden. Im Rahmen von Autonomiestatuten multiethnischer und plurinationaler Staatlichkeit werden in verschiedenen Ländern zunehmend auch indigene Autoritäten und Instanzen als Teil der öffentlichen Ordnung anerkannt, wie z.B. die mamos („Weisen“) als Institutionen indigener Selbstverwaltung in der Sierra Nevada de Santa Marta in Kolumbien.132 Die neuerdings verstärkt stattfindende Anerkennung indigener Selbstbestimmung schließt auch deren Konfliktlösungssysteme ein. Sie sind vor allem darauf ausgerichtet, Wege zu finden, wie im jeweils konkreten Fall die aus dem Gleichgewicht geratene Weltordnung wiederhergestellt werden kann. 131 Dies geschah z.B. mit dem Cerro Quemado, einem alten heiligen Maya-Ort in Almolonga, einer K’iché-Gemeinde, in der 90% in eine evangelikale Gemeinde konvertierten. (Elias 2020 a.a.O.). 132 René Kuppe, Religionsfreiheit und Schutz der kulturellen Identität im Widerspruch?: das Erkenntnis SU-510/1998 des Verfassungsgerichtes Kolumbien, Österreichisches Archiv für Recht und Religion Bd. 47/1 2000, S. 48-81. 127",olfh/teuken-7b-instruct-commercial-v0.4:7b,"[8.7, 8.8, 12.6]",
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"Mit zunehmender Anerkennung der Selbstbestimmungsrechte indigener Völker durch nationale und internationale Rechtsnormen ist aber auch das Recht auf selbstbestimmte Bewahrung und Weiterentwicklung eigenständiger Normativität und Institutionalität verbunden. Im Rahmen von Autonomiestatuten multiethnischer und plurinationaler Staatlichkeit werden in verschiedenen Ländern zunehmend auch indigene Autoritäten und Instanzen als Teil der öffentlichen Ordnung anerkannt, wie z.B. die mamos („Weisen“) als Institutionen indigener Selbstverwaltung in der Sierra Nevada de Santa Marta in Kolumbien.132 Die neuerdings verstärkt stattfindende Anerkennung indigener Selbstbestimmung schließt auch deren Konfliktlösungssysteme ein. Sie sind vor allem darauf ausgerichtet, Wege zu finden, wie im jeweils konkreten Fall die aus dem Gleichgewicht geratene Weltordnung wiederhergestellt werden kann. 131 Dies geschah z.B. mit dem Cerro Quemado, einem alten heiligen Maya-Ort in Almolonga, einer K’iché-Gemeinde, in der 90% in eine evangelikale Gemeinde konvertierten. (Elias 2020 a.a.O.). 132 René Kuppe, Religionsfreiheit und Schutz der kulturellen Identität im Widerspruch?: das Erkenntnis SU-510/1998 des Verfassungsgerichtes Kolumbien, Österreichisches Archiv für Recht und Religion Bd. 47/1 2000, S. 48-81. 127",qwen2.5:7b,"[10.3, 16.1]",
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"Mit zunehmender Anerkennung der Selbstbestimmungsrechte indigener Völker durch nationale und internationale Rechtsnormen ist aber auch das Recht auf selbstbestimmte Bewahrung und Weiterentwicklung eigenständiger Normativität und Institutionalität verbunden. Im Rahmen von Autonomiestatuten multiethnischer und plurinationaler Staatlichkeit werden in verschiedenen Ländern zunehmend auch indigene Autoritäten und Instanzen als Teil der öffentlichen Ordnung anerkannt, wie z.B. die mamos („Weisen“) als Institutionen indigener Selbstverwaltung in der Sierra Nevada de Santa Marta in Kolumbien.132 Die neuerdings verstärkt stattfindende Anerkennung indigener Selbstbestimmung schließt auch deren Konfliktlösungssysteme ein. Sie sind vor allem darauf ausgerichtet, Wege zu finden, wie im jeweils konkreten Fall die aus dem Gleichgewicht geratene Weltordnung wiederhergestellt werden kann. 131 Dies geschah z.B. mit dem Cerro Quemado, einem alten heiligen Maya-Ort in Almolonga, einer K’iché-Gemeinde, in der 90% in eine evangelikale Gemeinde konvertierten. (Elias 2020 a.a.O.). 132 René Kuppe, Religionsfreiheit und Schutz der kulturellen Identität im Widerspruch?: das Erkenntnis SU-510/1998 des Verfassungsgerichtes Kolumbien, Österreichisches Archiv für Recht und Religion Bd. 47/1 2000, S. 48-81. 127",mistral:7b,"[1.4, 10.3, 16.1]",
indigene-spiritualitaet-als-menschenrechtsthema.pdf,"Mit zunehmender Anerkennung der Selbstbestimmungsrechte indigener Völker durch nationale und internationale Rechtsnormen ist aber auch das Recht auf selbstbestimmte Bewahrung und Weiterentwicklung eigenständiger Normativität und Institutionalität verbunden. Im Rahmen von Autonomiestatuten multiethnischer und plurinationaler Staatlichkeit werden in verschiedenen Ländern zunehmend auch indigene Autoritäten und Instanzen als Teil der öffentlichen Ordnung anerkannt, wie z.B. die mamos („Weisen“) als Institutionen indigener Selbstverwaltung in der Sierra Nevada de Santa Marta in Kolumbien.132 Die neuerdings verstärkt stattfindende Anerkennung indigener Selbstbestimmung schließt auch deren Konfliktlösungssysteme ein. Sie sind vor allem darauf ausgerichtet, Wege zu finden, wie im jeweils konkreten Fall die aus dem Gleichgewicht geratene Weltordnung wiederhergestellt werden kann. 131 Dies geschah z.B. mit dem Cerro Quemado, einem alten heiligen Maya-Ort in Almolonga, einer K’iché-Gemeinde, in der 90% in eine evangelikale Gemeinde konvertierten. (Elias 2020 a.a.O.). 132 René Kuppe, Religionsfreiheit und Schutz der kulturellen Identität im Widerspruch?: das Erkenntnis SU-510/1998 des Verfassungsgerichtes Kolumbien, Österreichisches Archiv für Recht und Religion Bd. 47/1 2000, S. 48-81. 127",llama3.1:8b,"[10.3, 16.1, 16.1]",
strategiepapier510-02-2020.pdf,"→ →Sie ist schnell und flexibel einsetzbar, aber gleichzeitig mehrjährig: Sie kombiniert so Quick Wins mit längerfristigen Wirkungen. Vorhaben können innerhalb weniger Wochen beauftragt werden und setzen keine völkerrechtlichen Vereinbarungen mit der Partnerregierung voraus. → →Sie arbeitet lokal und zielgruppennah: Aus gehend von unmittelbaren Bedürfnissen der vulnerabelsten Bevölkerungsgruppen und lokalen Strukturen, aber auch deren Potenzialen verfolgt sie einen Bottom-Up Ansatz, der lokale und dezentrale Entwicklung priorisiert und somit den Anschluss an langfristige EZ auf nationaler Ebene sucht. → →Sie arbeitet kontextspezifisch und multisek toral: Krisenbewältigung auf lokaler Ebene benötigt immer ein Paket von Maßnahmen, das bedürfnisorientiert zugeschnitten werden muss. 5 BMZ Strategie 02 | 2020Strategie der strukturbildenden ÜbergangshilfeKrisen bewältigen, Resilienz stärken, Perspektiven schaffen →→Sie kann ihre Umsetzungspartner wählen: Je",llama3.2:3b,"[17.4, 8.1, 13.3, 11.2]",
